Type,Strike,Call Symbol,Call Open Int,Call Volume,Call Last,Exp
Call,328,SPY 200219C328,716,311,8.62,"   19 Feb 20	(0d)	 Weekly "
Call,329,SPY 200219C329,951,130,7.8,"   19 Feb 20	(0d)	 Weekly "
Call,330,SPY 200219C330,"1,853",160,6.61,"   19 Feb 20	(0d)	 Weekly "
Call,331,SPY 200219C331,"1,556",263,5.71,"   19 Feb 20	(0d)	 Weekly "
Call,332,SPY 200219C332,"2,082",613,4.79,"   19 Feb 20	(0d)	 Weekly "
Call,332.5,SPY 200219C332.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,333,SPY 200219C333,"1,637","2,715",3.88,"   19 Feb 20	(0d)	 Weekly "
Call,333.5,SPY 200219C333.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,334,SPY 200219C334,"1,062","3,988",2.86,"   19 Feb 20	(0d)	 Weekly "
Call,334.5,SPY 200219C334.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,335,SPY 200219C335,"2,548","9,736",2.03,"   19 Feb 20	(0d)	 Weekly "
Call,335.5,SPY 200219C335.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,336,SPY 200219C336,"1,797","37,955",1.25,"   19 Feb 20	(0d)	 Weekly "
Call,336.5,SPY 200219C336.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,337,SPY 200219C337,"5,730","55,918",0.57,"   19 Feb 20	(0d)	 Weekly "
Call,337.5,SPY 200219C337.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,338,SPY 200219C338,"4,949","22,093",0.22,"   19 Feb 20	(0d)	 Weekly "
Call,338.5,SPY 200219C338.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,339,SPY 200219C339,"19,455","15,911",0.07,"   19 Feb 20	(0d)	 Weekly "
Call,339.5,SPY 200219C339.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,340,SPY 200219C340,"26,239","9,853",0.02,"   19 Feb 20	(0d)	 Weekly "
Call,340.5,SPY 200219C340.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,341,SPY 200219C341,"5,917","3,204",0.02,"   19 Feb 20	(0d)	 Weekly "
Call,341.5,SPY 200219C341.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Call,342,SPY 200219C342,"2,185","2,757",0.01,"   19 Feb 20	(0d)	 Weekly "
Call,343,SPY 200219C343,"1,395",861,0.01,"   19 Feb 20	(0d)	 Weekly "
Call,344,SPY 200219C344,"1,295",31,0.02,"   19 Feb 20	(0d)	 Weekly "
Call,345,SPY 200219C345,"2,679",27,0.01,"   19 Feb 20	(0d)	 Weekly "
Call,346,SPY 200219C346,"1,514",25,0.01,"   19 Feb 20	(0d)	 Weekly "
Call,347,SPY 200219C347,138,3,0.01,"   19 Feb 20	(0d)	 Weekly "
Put,328,SPY 200219P328,"6,347","2,265",0.02,"   19 Feb 20	(0d)	 Weekly "
Put,329,SPY 200219P329,"2,934","1,275",0.03,"   19 Feb 20	(0d)	 Weekly "
Put,330,SPY 200219P330,"5,456","31,071",0.03,"   19 Feb 20	(0d)	 Weekly "
Put,331,SPY 200219P331,"8,471","10,558",0.05,"   19 Feb 20	(0d)	 Weekly "
Put,332,SPY 200219P332,"3,406","14,791",0.07,"   19 Feb 20	(0d)	 Weekly "
Put,332.5,SPY 200219P332.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,333,SPY 200219P333,"5,666","31,251",0.11,"   19 Feb 20	(0d)	 Weekly "
Put,333.5,SPY 200219P333.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,334,SPY 200219P334,"8,176","28,113",0.18,"   19 Feb 20	(0d)	 Weekly "
Put,334.5,SPY 200219P334.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,335,SPY 200219P335,"6,350","51,877",0.3,"   19 Feb 20	(0d)	 Weekly "
Put,335.5,SPY 200219P335.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,336,SPY 200219P336,"4,324","46,057",0.53,"   19 Feb 20	(0d)	 Weekly "
Put,336.5,SPY 200219P336.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,337,SPY 200219P337,"8,735","38,402",0.94,"   19 Feb 20	(0d)	 Weekly "
Put,337.5,SPY 200219P337.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,338,SPY 200219P338,"2,443","7,670",1.6,"   19 Feb 20	(0d)	 Weekly "
Put,338.5,SPY 200219P338.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,339,SPY 200219P339,"1,568","2,589",2.35,"   19 Feb 20	(0d)	 Weekly "
Put,339.5,SPY 200219P339.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,340,SPY 200219P340,"1,045","1,174",3.32,"   19 Feb 20	(0d)	 Weekly "
Put,340.5,SPY 200219P340.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,341,SPY 200219P341,743,64,4.31,"   19 Feb 20	(0d)	 Weekly "
Put,341.5,SPY 200219P341.5,0,0,0,"   19 Feb 20	(0d)	 Weekly "
Put,342,SPY 200219P342,"1,273",72,5.88,"   19 Feb 20	(0d)	 Weekly "
Put,343,SPY 200219P343,918,9,6.59,"   19 Feb 20	(0d)	 Weekly "
Put,344,SPY 200219P344,1,2,7.67,"   19 Feb 20	(0d)	 Weekly "
Put,345,SPY 200219P345,222,0,7.44,"   19 Feb 20	(0d)	 Weekly "
Put,346,SPY 200219P346,0,5,9.43,"   19 Feb 20	(0d)	 Weekly "
Put,347,SPY 200219P347,0,0,9.79,"   19 Feb 20	(0d)	 Weekly "
